url,name,beam,frequency,symbol_rate,forward_error_correction,video_encoding,language,encryption,ch_type
https://www.lyngsat.com/radiochannels/cn/Guangxi-Finance-Radio.html,Guangxi Finance Radio,C,3885 H,5720,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Guangxi-Foreign-Radio.html,Guangxi Foreign Radio,C,3885 H,5720,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Guangxi-Life-Radio.html,Guangxi Life Radio,C,3885 H,5720,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Guangxi-Peoples-Radio.html,Guangxi People's Radio,0,11920 L,28800,4-Mar,,,Videoguard,radio
https://www.lyngsat.com/radiochannels/cn/Guangxi-Traffic-Radio.html,Guangxi Traffic Radio,C,3885 H,5720,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Guizhou-City-Radio.html,Guizhou City Radio,None,3796 H,6930,2-Jan,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Guizhou-Economic-Radio.html,Guizhou Economic Radio,None,3796 H,6930,2-Jan,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Guizhou-Metropolis-Radio.html,Guizhou Metropolis Radio,None,3796 H,6930,2-Jan,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Guizhou-Music-Radio.html,Guizhou Music Radio,None,3796 H,6930,2-Jan,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Guizhou-News-Radio.html,Guizhou News Radio,None,3796 H,6930,2-Jan,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Guizhou-Story-Radio.html,Guizhou Story Radio,None,3796 H,6930,2-Jan,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Guizhou-Traffic-Radio.html,Guizhou Traffic Radio,None,3796 H,6930,2-Jan,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Hainan-Art-Radio.html,Hainan Art Radio,C,3933 H,6590,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Hainan-News-Radio.html,Hainan News Radio,0,11960 L,28800,4-Mar,,,Videoguard,radio
https://www.lyngsat.com/radiochannels/cn/Hainan-Traffic-Radio.html,Hainan Traffic Radio,C,3933 H,6590,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Hebei-City-Radio.html,Hebei City Radio,None,4053 V,6000,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Hebei-Economic-Radio.html,Hebei Economic Radio,None,4053 V,6000,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Hebei-Life-Radio.html,Hebei Life Radio,None,4053 V,6000,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Hebei-Music-Radio.html,Hebei Music Radio,None,4053 V,6000,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Hebei-Peoples-Radio.html,Hebei People's Radio,0,12060 R,28800,4-Mar,,,Videoguard,radio
https://www.lyngsat.com/radiochannels/cn/Heilongjiang-City-1021-Women.html,Heilongjiang City 102.1 Women,C,3893 H,6880,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Heilongjiang-FM-970.html,Heilongjiang FM 97.0,C,3893 H,6880,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Heilongjiang-Korean-Radio.html,Heilongjiang Korean Radio,C,3893 H,6880,4-Mar,,Kor,,radio
https://www.lyngsat.com/radiochannels/cn/Heilongjiang-Life-FM-1045.html,Heilongjiang Life FM 104.5,C,3893 H,6880,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Heilongjiang-Music-FM-958.html,Heilongjiang Music FM 95.8,C,3893 H,6880,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Heilongjiang-News-Radio.html,Heilongjiang News Radio,0,12060 R,28800,4-Mar,,,Videoguard,radio
https://www.lyngsat.com/radiochannels/cn/Heilongjiang-Rural-Radio.html,Heilongjiang Rural Radio,C,3893 H,6880,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Heilongjiang-Traffic-Radio.html,Heilongjiang Traffic Radio,C,3893 H,6880,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Henan-Agriculture-Radio.html,Henan Agriculture Radio,None,3854 V,4420,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Henan-Culture-Radio.html,Henan Culture Radio,None,3854 V,4420,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Henan-Economy-Radio.html,Henan Economy Radio,None,3854 V,4420,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Henan-Information-Radio.html,Henan Information Radio,None,3854 V,4420,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Henan-Peoples-Radio.html,Henan People's Radio,None,3854 V,4420,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Hubei-Peoples-Radio.html,Hubei People's Radio,None,4147 H,6150,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Hulunbuir-Chinese-Radio.html,Hulunbuir Chinese Radio,None,4171 H,9200,4-Mar,,Chi,,radio
https://www.lyngsat.com/radiochannels/cn/Hulunbuir-Mongolian-Radio.html,Hulunbuir Mongolian Radio,None,4171 H,9200,4-Mar,,Mon,,radio
